     Elem ID,     Node ID,     X Coord,     Y Coord,     Z Coord,           X,           Y,           Z,   Magnitude
       20866,        4102,  5.0000e+01,  3.5416e+01,  1.0000e+01, -1.3840e+02, -3.6772e+01, -1.6910e-03,  1.4320e+02
       20886,        4102,  5.0000e+01,  3.5416e+01,  1.0000e+01, -1.3840e+02, -3.6772e+01, -1.6910e-03,  1.4320e+02
       20886,        4103,  5.0000e+01,  3.4900e+01,  1.0000e+01, -1.2984e+02, -3.9501e+01, -1.3221e-03,  1.3571e+02
       20906,        4103,  5.0000e+01,  3.4900e+01,  1.0000e+01, -1.2984e+02, -3.9501e+01, -1.3221e-03,  1.3571e+02
       20906,        4104,  5.0000e+01,  3.4332e+01,  1.0000e+01, -1.1985e+02, -4.2021e+01, -7.8975e-04,  1.2700e+02
       20926,        4104,  5.0000e+01,  3.4332e+01,  1.0000e+01, -1.1985e+02, -4.2021e+01, -7.8975e-04,  1.2700e+02
       20926,        4105,  5.0000e+01,  3.3708e+01,  1.0000e+01, -1.0840e+02, -4.4263e+01, -9.3109e-05,  1.1709e+02
       20946,        4105,  5.0000e+01,  3.3708e+01,  1.0000e+01, -1.0840e+02, -4.4263e+01, -9.3109e-05,  1.1709e+02
       20946,        4106,  5.0000e+01,  3.3021e+01,  1.0000e+01, -9.5453e+01, -4.6149e+01,  7.4966e-04,  1.0602e+02
       20966,        4106,  5.0000e+01,  3.3021e+01,  1.0000e+01, -9.5453e+01, -4.6149e+01,  7.4966e-04,  1.0602e+02
       20966,        4107,  5.0000e+01,  3.2265e+01,  1.0000e+01, -8.1065e+01, -4.7593e+01,  1.6957e-03,  9.4003e+01
       20986,        4107,  5.0000e+01,  3.2265e+01,  1.0000e+01, -8.1065e+01, -4.7593e+01,  1.6957e-03,  9.4003e+01
       20986,        4108,  5.0000e+01,  3.1434e+01,  1.0000e+01, -6.5400e+01, -4.8567e+01,  2.6712e-03,  8.1461e+01
       21006,        4108,  5.0000e+01,  3.1434e+01,  1.0000e+01, -6.5400e+01, -4.8567e+01,  2.6712e-03,  8.1461e+01
       21006,        4109,  5.0000e+01,  3.0520e+01,  1.0000e+01, -4.8147e+01, -4.9438e+01,  3.6176e-03,  6.9009e+01
       21026,        4109,  5.0000e+01,  3.0520e+01,  1.0000e+01, -4.8147e+01, -4.9438e+01,  3.6176e-03,  6.9009e+01
       21026,        4110,  5.0000e+01,  2.9515e+01,  1.0000e+01, -2.9235e+01, -5.1151e+01,  4.3840e-03,  5.8916e+01
       21046,        4110,  5.0000e+01,  2.9515e+01,  1.0000e+01, -2.9235e+01, -5.1151e+01,  4.3840e-03,  5.8916e+01
       21046,        4111,  5.0000e+01,  2.8408e+01,  1.0000e+01,  4.5521e+00, -5.1121e+01,  4.9552e-03,  5.1323e+01
       21066,        4111,  5.0000e+01,  2.8408e+01,  1.0000e+01,  4.5521e+00, -5.1121e+01,  4.9552e-03,  5.1323e+01
       21066,        4112,  5.0000e+01,  2.7192e+01,  1.0000e+01,  5.4559e+01, -4.2147e+01,  5.0671e-03,  6.8943e+01
       21086,        4112,  5.0000e+01,  2.7192e+01,  1.0000e+01,  5.4559e+01, -4.2147e+01,  5.0671e-03,  6.8943e+01
       21086,        4113,  5.0000e+01,  2.5853e+01,  1.0000e+01,  1.0051e+02, -2.8832e+01,  4.9229e-03,  1.0456e+02
       21106,        4113,  5.0000e+01,  2.5853e+01,  1.0000e+01,  1.0051e+02, -2.8832e+01,  4.9229e-03,  1.0456e+02
       21106,        4114,  5.0000e+01,  2.4381e+01,  1.0000e+01,  1.5211e+02, -1.5038e+01,  4.2410e-03,  1.5285e+02
       21126,        4114,  5.0000e+01,  2.4381e+01,  1.0000e+01,  1.5211e+02, -1.5038e+01,  4.2410e-03,  1.5285e+02
       21126,        4115,  5.0000e+01,  2.2761e+01,  1.0000e+01,  2.1402e+02, -4.4205e+00,  2.3304e-03,  2.1407e+02
       21146,        4115,  5.0000e+01,  2.2761e+01,  1.0000e+01,  2.1402e+02, -4.4205e+00,  2.3304e-03,  2.1407e+02
       21146,        4116,  5.0000e+01,  2.0980e+01,  1.0000e+01,  2.8713e+02, -1.0754e+00, -8.2420e-04,  2.8713e+02
       21166,        4116,  5.0000e+01,  2.0980e+01,  1.0000e+01,  2.8713e+02, -1.0754e+00, -8.2420e-04,  2.8713e+02
       21166,        4117,  5.0000e+01,  1.9020e+01,  1.0000e+01,  4.0596e+02,  2.1087e+00, -3.9013e-03,  4.0597e+02
       21186,        4117,  5.0000e+01,  1.9020e+01,  1.0000e+01,  4.0596e+02,  2.1087e+00, -3.9013e-03,  4.0597e+02
       21186,        4118,  5.0000e+01,  1.7239e+01,  1.0000e+01,  4.8344e+02,  4.1027e+00, -3.3673e-03,  4.8346e+02
       21206,        4118,  5.0000e+01,  1.7239e+01,  1.0000e+01,  4.8344e+02,  4.1027e+00, -3.3673e-03,  4.8346e+02
       21206,        4119,  5.0000e+01,  1.5619e+01,  1.0000e+01,  5.1114e+02,  3.6213e+00, -2.3827e-03,  5.1115e+02
       21226,        4119,  5.0000e+01,  1.5619e+01,  1.0000e+01,  5.1114e+02,  3.6213e+00, -2.3827e-03,  5.1115e+02
       21226,        4120,  5.0000e+01,  1.4147e+01,  1.0000e+01,  5.2615e+02,  3.2080e+00, -1.6465e-03,  5.2616e+02
       21246,        4120,  5.0000e+01,  1.4147e+01,  1.0000e+01,  5.2615e+02,  3.2080e+00, -1.6465e-03,  5.2616e+02
       21246,        4121,  5.0000e+01,  1.2808e+01,  1.0000e+01,  5.3434e+02,  2.4738e+00, -1.1298e-03,  5.3435e+02
       21266,        4121,  5.0000e+01,  1.2808e+01,  1.0000e+01,  5.3434e+02,  2.4738e+00, -1.1298e-03,  5.3435e+02
       21266,        4122,  5.0000e+01,  1.1592e+01,  1.0000e+01,  5.3855e+02,  1.8463e+00, -7.7174e-04,  5.3855e+02
       21286,        4122,  5.0000e+01,  1.1592e+01,  1.0000e+01,  5.3855e+02,  1.8463e+00, -7.7174e-04,  5.3855e+02
       21286,        4123,  5.0000e+01,  1.0485e+01,  1.0000e+01,  5.4044e+02,  1.3539e+00, -5.2643e-04,  5.4044e+02
       21306,        4123,  5.0000e+01,  1.0485e+01,  1.0000e+01,  5.4044e+02,  1.3539e+00, -5.2643e-04,  5.4044e+02
       21306,        4124,  5.0000e+01,  9.4798e+00,  1.0000e+01,  5.4102e+02,  9.4363e-01, -3.6049e-04,  5.4102e+02
       21326,        4124,  5.0000e+01,  9.4798e+00,  1.0000e+01,  5.4102e+02,  9.4363e-01, -3.6049e-04,  5.4102e+02
       21326,        4125,  5.0000e+01,  8.5656e+00,  1.0000e+01,  5.4083e+02,  5.2666e-01, -2.4946e-04,  5.4083e+02
       21346,        4125,  5.0000e+01,  8.5656e+00,  1.0000e+01,  5.4083e+02,  5.2666e-01, -2.4946e-04,  5.4083e+02
       21346,        4126,  5.0000e+01,  7.7345e+00,  1.0000e+01,  5.4014e+02,  2.5549e-02, -1.7563e-04,  5.4014e+02
       21366,        4126,  5.0000e+01,  7.7345e+00,  1.0000e+01,  5.4014e+02,  2.5549e-02, -1.7563e-04,  5.4014e+02
       21366,        4127,  5.0000e+01,  6.9790e+00,  1.0000e+01,  5.3900e+02, -6.0751e-01, -1.2644e-04,  5.3900e+02
       21386,        4127,  5.0000e+01,  6.9790e+00,  1.0000e+01,  5.3900e+02, -6.0751e-01, -1.2644e-04,  5.3900e+02
       21386,        4128,  5.0000e+01,  6.2921e+00,  1.0000e+01,  5.3735e+02, -1.3884e+00, -9.3294e-05,  5.3735e+02
       21406,        4128,  5.0000e+01,  6.2921e+00,  1.0000e+01,  5.3735e+02, -1.3884e+00, -9.3294e-05,  5.3735e+02
       21406,        4129,  5.0000e+01,  5.6677e+00,  1.0000e+01,  5.3510e+02, -2.3062e+00, -7.0596e-05,  5.3510e+02
       21426,        4129,  5.0000e+01,  5.6677e+00,  1.0000e+01,  5.3510e+02, -2.3062e+00, -7.0596e-05,  5.3510e+02
       21426,        4130,  5.0000e+01,  5.1001e+00,  1.0000e+01,  5.3210e+02, -3.3300e+00, -5.4730e-05,  5.3211e+02
       21446,        4130,  5.0000e+01,  5.1001e+00,  1.0000e+01,  5.3210e+02, -3.3300e+00, -5.4730e-05,  5.3211e+02
       21446,        4131,  5.0000e+01,  4.5841e+00,  1.0000e+01,  5.2823e+02, -4.4155e+00, -4.3420e-05,  5.2825e+02
       21466,        4131,  5.0000e+01,  4.5841e+00,  1.0000e+01,  5.2823e+02, -4.4155e+00, -4.3420e-05,  5.2825e+02
       21466,        4132,  5.0000e+01,  4.1149e+00,  1.0000e+01,  5.2335e+02, -5.5100e+00, -3.5234e-05,  5.2337e+02
       21486,        4132,  5.0000e+01,  4.1149e+00,  1.0000e+01,  5.2335e+02, -5.5100e+00, -3.5234e-05,  5.2337e+02
       21486,        4133,  5.0000e+01,  3.6885e+00,  1.0000e+01,  5.1733e+02, -6.5573e+00, -2.9190e-05,  5.1737e+02
       21506,        4133,  5.0000e+01,  3.6885e+00,  1.0000e+01,  5.1733e+02, -6.5573e+00, -2.9190e-05,  5.1737e+02
       21506,        4134,  5.0000e+01,  3.3008e+00,  1.0000e+01,  5.1008e+02, -7.5005e+00, -2.4664e-05,  5.1013e+02
       21526,        4134,  5.0000e+01,  3.3008e+00,  1.0000e+01,  5.1008e+02, -7.5005e+00, -2.4664e-05,  5.1013e+02
       21526,        4135,  5.0000e+01,  2.9483e+00,  1.0000e+01,  5.0148e+02, -8.2860e+00, -2.1233e-05,  5.0155e+02
       21546,        4135,  5.0000e+01,  2.9483e+00,  1.0000e+01,  5.0148e+02, -8.2860e+00, -2.1233e-05,  5.0155e+02
       21546,        4136,  5.0000e+01,  2.6279e+00,  1.0000e+01,  4.9146e+02, -8.8656e+00, -1.8592e-05,  4.9154e+02
       21566,        4136,  5.0000e+01,  2.6279e+00,  1.0000e+01,  4.9146e+02, -8.8656e+00, -1.8592e-05,  4.9154e+02
       21566,        4137,  5.0000e+01,  2.3366e+00,  1.0000e+01,  4.7993e+02, -9.1994e+00, -1.6538e-05,  4.8002e+02
       21586,        4137,  5.0000e+01,  2.3366e+00,  1.0000e+01,  4.7993e+02, -9.1994e+00, -1.6538e-05,  4.8002e+02
       21586,        4138,  5.0000e+01,  2.0718e+00,  1.0000e+01,  4.6680e+02, -9.2572e+00, -1.4928e-05,  4.6689e+02
       21606,        4138,  5.0000e+01,  2.0718e+00,  1.0000e+01,  4.6680e+02, -9.2572e+00, -1.4928e-05,  4.6689e+02
       21606,        4139,  5.0000e+01,  1.8310e+00,  1.0000e+01,  4.5199e+02, -9.0196e+00, -1.3648e-05,  4.5208e+02
       21626,        4139,  5.0000e+01,  1.8310e+00,  1.0000e+01,  4.5199e+02, -9.0196e+00, -1.3648e-05,  4.5208e+02
       21626,        4140,  5.0000e+01,  1.6122e+00,  1.0000e+01,  4.3539e+02, -8.4796e+00, -1.2618e-05,  4.3547e+02
       21646,        4140,  5.0000e+01,  1.6122e+00,  1.0000e+01,  4.3539e+02, -8.4796e+00, -1.2618e-05,  4.3547e+02
       21646,        4141,  5.0000e+01,  1.4132e+00,  1.0000e+01,  4.1688e+02, -7.6422e+00, -1.1782e-05,  4.1695e+02
       21666,        4141,  5.0000e+01,  1.4132e+00,  1.0000e+01,  4.1688e+02, -7.6422e+00, -1.1782e-05,  4.1695e+02
       21666,        4142,  5.0000e+01,  1.2324e+00,  1.0000e+01,  3.9631e+02, -6.5258e+00, -1.1097e-05,  3.9636e+02
       21686,        4142,  5.0000e+01,  1.2324e+00,  1.0000e+01,  3.9631e+02, -6.5258e+00, -1.1097e-05,  3.9636e+02
       21686,        4143,  5.0000e+01,  1.0680e+00,  1.0000e+01,  3.7348e+02, -5.1622e+00, -1.0505e-05,  3.7352e+02
       21706,        4143,  5.0000e+01,  1.0680e+00,  1.0000e+01,  3.7348e+02, -5.1622e+00, -1.0505e-05,  3.7352e+02
       21706,        4144,  5.0000e+01,  9.1847e-01,  1.0000e+01,  3.4816e+02, -3.5975e+00, -9.9522e-06,  3.4818e+02
       21726,        4144,  5.0000e+01,  9.1847e-01,  1.0000e+01,  3.4816e+02, -3.5975e+00, -9.9522e-06,  3.4818e+02
       21726,        4145,  5.0000e+01,  7.8259e-01,  1.0000e+01,  3.2003e+02, -1.8937e+00, -9.4109e-06,  3.2003e+02
       21746,        4145,  5.0000e+01,  7.8259e-01,  1.0000e+01,  3.2003e+02, -1.8937e+00, -9.4109e-06,  3.2003e+02
       21746,        4146,  5.0000e+01,  6.5905e-01,  1.0000e+01,  2.8875e+02, -1.3083e-01, -8.8229e-06,  2.8875e+02
       21766,        4146,  5.0000e+01,  6.5905e-01,  1.0000e+01,  2.8875e+02, -1.3083e-01, -8.8229e-06,  2.8875e+02
       21766,        4147,  5.0000e+01,  5.4675e-01,  1.0000e+01,  2.5402e+02,  1.5894e+00, -8.1113e-06,  2.5402e+02
       21786,        4147,  5.0000e+01,  5.4675e-01,  1.0000e+01,  2.5402e+02,  1.5894e+00, -8.1113e-06,  2.5402e+02
       21786,        4148,  5.0000e+01,  4.4465e-01,  1.0000e+01,  2.1578e+02,  3.1385e+00, -7.2268e-06,  2.1580e+02
       21806,        4148,  5.0000e+01,  4.4465e-01,  1.0000e+01,  2.1578e+02,  3.1385e+00, -7.2268e-06,  2.1580e+02
       21806,        4149,  5.0000e+01,  3.5184e-01,  1.0000e+01,  1.7457e+02,  4.3555e+00, -6.1431e-06,  1.7462e+02
       21826,        4149,  5.0000e+01,  3.5184e-01,  1.0000e+01,  1.7457e+02,  4.3555e+00, -6.1431e-06,  1.7462e+02
       21826,        4150,  5.0000e+01,  2.6746e-01,  1.0000e+01,  1.3193e+02,  5.0473e+00, -4.8714e-06,  1.3203e+02
       21846,        4150,  5.0000e+01,  2.6746e-01,  1.0000e+01,  1.3193e+02,  5.0473e+00, -4.8714e-06,  1.3203e+02
       21846,        4151,  5.0000e+01,  1.9076e-01,  1.0000e+01,  9.0535e+01,  5.0045e+00, -3.4870e-06,  9.0673e+01
       21866,        4151,  5.0000e+01,  1.9076e-01,  1.0000e+01,  9.0535e+01,  5.0045e+00, -3.4870e-06,  9.0673e+01
       21866,        4152,  5.0000e+01,  1.2102e-01,  1.0000e+01,  5.3428e+01,  4.0577e+00, -2.1333e-06,  5.3582e+01
       21886,        4152,  5.0000e+01,  1.2102e-01,  1.0000e+01,  5.3428e+01,  4.0577e+00, -2.1333e-06,  5.3582e+01
       21886,        4153,  5.0000e+01,  5.7630e-02,  1.0000e+01,  2.2805e+01,  2.2788e+00, -9.5421e-07,  2.2918e+01
       21906,        4153,  5.0000e+01,  5.7630e-02,  1.0000e+01,  2.2805e+01,  2.2788e+00, -9.5421e-07,  2.2918e+01
       21906,        4257,  5.0000e+01,  0.0000e+00,  1.0000e+01, -1.8021e+00,  1.6093e-01,  3.5181e-08,  1.8093e+00
